"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Rust;Scala","Cosmos DB","Microsoft Azure","React","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Java;JavaScript;Python;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Heroku","NestJS;Node.js;Phoenix;React;Spring Boot","Other","ChatGPT","Synk Code","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript","Dynamodb;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","FastAPI;Flask;Node.js","Legal Services","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Dynamodb;Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Digital Ocean;Firebase;Google Cloud","Angular;AngularJS;CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;Vue.js","Healthcare","ChatGPT","Rubber Duck.AI;Tabnine","Not employed, but looking for work"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript","BigQuery;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Microsoft Azure;Vercel","Express;Next.js;Node.js;React;WordPress","Higher Education","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS)","Express;Node.js;React","Wholesale","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;Python;TypeScript","MariaDB;MongoDB;MySQL;SQLite;Supabase","Digital Ocean;Heroku;Netlify;Vercel","Angular;Express;Next.js;Node.js;Nuxt.js;React;Vue.js","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed, full-time"
"Durban Campus","IT","I used to be a developer by profession, but no longer am","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Erlang;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript","Dynamodb;Elasticsearch;MySQL;PostgreSQL;Solr;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Deno;Express;Fastify;jQuery;NestJS;Next.js;Node.js;Phoenix;React;Vue.js","Healthcare","ChatGPT","GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;PowerShell;Python;SQL","Microsoft SQL Server;Oracle","Heroku;Microsoft Azure","Angular;ASP.NET;Flask","Wholesale","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;HTML/CSS;JavaScript;Python;SQL","MariaDB","Amazon Web Services (AWS)","React","Other","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Student, part-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, mobile","Some college/university study without earning a degree","Bash/Shell (all shells);C;Groovy;Java;Kotlin;Objective-C;Ruby;Rust;Swift;TypeScript","MongoDB;PostgreSQL;Supabase","Digital Ocean;Google Cloud;Vercel","Next.js;Node.js;React","Other","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Engineering manager","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL","DuckDB;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite;Supabase","Heroku;Microsoft Azure","Angular;Deno;FastAPI;Flask;Next.js;Node.js;React","Healthcare","Bing AI;ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C++;Go;Java;JavaScript;MATLAB;Python;R;Rust;SQL;Swift;TypeScript","MySQL;PostgreSQL;Redis","Cloudflare;Digital Ocean;Oracle Cloud Infrastructure (OCI)","Flask;React","Oil & Gas","WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Student, full-time;Employed, part-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","DevOps specialist","Some college/university study without earning a degree","Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Python","Dynamodb;PostgreSQL;SQLite","Amazon Web Services (AWS)","Django","Legal Services","ChatGPT","GitHub Copilot","Not employed, but looking for work"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;TypeScript","Dynamodb","Amazon Web Services (AWS)","Node.js;React","Legal Services","ChatGPT","Replit Ghostwriter","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","BigQuery;Elasticsearch;Microsoft SQL Server;Redis","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;Vue.js","Advertising Services","Bing AI;ChatGPT;Google Bard AI","Adrenaline;AWS CodeWhisperer","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","Bing AI","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Groovy;Java;JavaScript;PHP;Python;R;SQL;TypeScript","Elasticsearch;InfluxDB;MariaDB;Microsoft SQL Server;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare","ASP.NET CORE;Blazor;NestJS;Next.js;Node.js;React;Spring Boot;WordPress","Other","ChatGPT;You.com","Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;TypeScript","Dynamodb;MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;Fastify;NestJS;Next.js;Node.js;WordPress","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;HTML/CSS;JavaScript;SQL;TypeScript","Cosmos DB;PostgreSQL;Redis","Cloudflare;Microsoft Azure","ASP.NET CORE;React;Svelte","Retail and Consumer Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL;TypeScript","BigQuery","Amazon Web Services (AWS);Google Cloud","Node.js","Retail and Consumer Services","Bing AI;ChatGPT","Adrenaline;Mintlify;Rubber Duck.AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Python;Ruby;SQL;TypeScript","Dynamodb;Elasticsearch;MySQL","Amazon Web Services (AWS)","Express;jQuery;Node.js;React;Ruby on Rails","Legal Services","ChatGPT","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku;Microsoft Azure","Express;Node.js","Financial Services","ChatGPT","GitHub Copilot;Rubber Duck.AI;Tabnine","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Clojure;JavaScript;Rust;TypeScript","Firebase Realtime Database;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure","Node.js;React","Insurance","ChatGPT;Phind","GitHub Copilot;Synk Code;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Cloud infrastructure engineer","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;Python","Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;OpenShift","Flask","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript","MySQL;SQLite","Amazon Web Services (AWS);Cloudflare","Express;Node.js;React;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL","Firebase Realtime Database","Firebase","Django;React","Higher Education","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;PowerShell;SQL","Dynamodb;H2;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS)","Lit;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Rust;TypeScript","Elasticsearch;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Fly.io;Google Cloud","React","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;Python;R;SQL","DuckDB;MariaDB;MongoDB;MySQL;Neo4J;Redis;Snowflake;Solr","Amazon Web Services (AWS);Digital Ocean","FastAPI;Flask","Insurance","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"Durban Campus","IT","I am a developer by profession","Blockchain","Associate degree (A.A., A.S., etc.)","JavaScript;TypeScript","MySQL","Amazon Web Services (AWS)","Express;Node.js","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C;Fortran;HTML/CSS;JavaScript;MATLAB;Python","MySQL","Amazon Web Services (AWS);Google Cloud","jQuery;Node.js;WordPress","Insurance","ChatGPT;WolframAlpha","Adrenaline;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I code primarily as a hobby","Academic researcher","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript","MongoDB","Amazon Web Services (AWS);Digital Ocean;Firebase","NestJS;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium;Synk Code;Whispr AI","Not employed, but looking for work;Student, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript","MongoDB;MySQL;PostgreSQL;RavenDB","Amazon Web Services (AWS);Firebase;Heroku;Render","Angular;Django;jQuery;Next.js;Node.js;Spring Boot;WordPress","Retail and Consumer Services","Bing AI;ChatGPT","Codeium","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript","Cloud Firestore;Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud;Vercel","Angular;AngularJS;Express;Next.js;Node.js;React;Svelte","Higher Education","Phind;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Student, full-time;Employed, part-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;SQL","MySQL","Amazon Web Services (AWS)","jQuery;Spring Boot","Oil & Gas","ChatGPT","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Groovy;Java;Kotlin;Rust;Solidity;TypeScript","BigQuery;MySQL;PostgreSQL;Redis","Cloudflare;Digital Ocean;Google Cloud;Hetzner;OVH","Gatsby;Node.js;React;Spring Boot","Oil & Gas","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL;VBA","Microsoft SQL Server;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;Blazor;jQuery","Financial Services","ChatGPT","Codeium","Independent contractor, freelancer, or self-employed"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, front-end","Something else","HTML/CSS;JavaScript","MongoDB;MySQL;PostgreSQL","Netlify","Express;Node.js;React","Advertising Services","ChatGPT","Mintlify;Synk Code","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;Neo4J;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Microsoft Azure","ASP.NET CORE;Gatsby;Next.js;React","Wholesale","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell","IBM DB2;MySQL;SQLite","Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery;Node.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Primary/elementary school","Bash/Shell (all shells);Clojure;JavaScript;Lua;SQL","PostgreSQL","Amazon Web Services (AWS)","Vue.js","Other","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","Neo4J;Redis","Amazon Web Services (AWS)","Node.js;Spring Boot","Other","Perplexity AI;Phind","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Research & Development role","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#","Microsoft SQL Server;PostgreSQL;Redis","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;jQuery","Healthcare","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C;C++;HTML/CSS;PHP","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","Laravel","Other","ChatGPT","GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;Kotlin;Python","Cosmos DB;Dynamodb;PostgreSQL;Redis","Microsoft Azure","Spring Boot","Wholesale","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Objective-C;PowerShell;Python;Rust;SQL;TypeScript","Dynamodb;Elasticsearch;Microsoft SQL Server;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;VMware","AngularJS;ASP.NET;ASP.NET CORE;Express;FastAPI;jQuery;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Kotlin","MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud","Node.js","Wholesale","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","Cockroachdb;Microsoft SQL Server;PostgreSQL;Snowflake","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Django;Flask;Node.js;React","Other","ChatGPT","AWS CodeWhisperer;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL","PostgreSQL;Redis","Amazon Web Services (AWS)","Gatsby;React;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","HTML/CSS;Python;Rust;Scala;SQL;TypeScript","PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean","React","Higher Education","ChatGPT","GitHub Copilot","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL","InfluxDB;MariaDB;MySQL;Snowflake","Amazon Web Services (AWS);Microsoft Azure;OpenShift","Flask;jQuery;WordPress","Retail and Consumer Services","Bing AI;ChatGPT;WolframAlpha","Rubber Duck.AI;Synk Code","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","HTML/CSS;Java;JavaScript;Python;TypeScript","Microsoft SQL Server;MongoDB;PostgreSQL","Heroku;Microsoft Azure;OpenShift","Angular;Django;Spring Boot","Higher Education","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;SQL","MySQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud;Linode, now Akamai;VMware;Vultr","jQuery","Wholesale","ChatGPT;Perplexity AI","Synk Code","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Dynamodb;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Netlify","ASP.NET;ASP.NET CORE;Django;Express;Gatsby;NestJS;Next.js;Node.js;React","Healthcare","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript","BigQuery;Dynamodb;Elasticsearch;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Google Cloud","Deno;Express;NestJS;Next.js;Node.js;React","Insurance","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;SQL","Firebase Realtime Database;MySQL","Amazon Web Services (AWS);Cloudflare;Firebase;Netlify;Vercel","Next.js;React;WordPress","Healthcare","ChatGPT","Codeium;Replit Ghostwriter","Independent contractor, freelancer, or self-employed"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;JavaScript;Kotlin;MATLAB;Python;Scala;SQL","Cassandra;Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;SQLite","Firebase;Heroku","ASP.NET;Express;jQuery;Node.js;React;Vue.js","Other","ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript","Dynamodb;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Microsoft Azure","Express;Fastify;Node.js;React;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Tabnine","Employed, full-time"
"Vanderbijlpark Campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","Go;TypeScript","PostgreSQL","Microsoft Azure","Angular","Insurance","ChatGPT","Adrenaline","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;Go;JavaScript;Python;SQL;TypeScript","Dynamodb;Elasticsearch;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud","Express;Next.js;Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;SQL;TypeScript","BigQuery;MongoDB;PostgreSQL","Google Cloud","Express;Gatsby;Next.js;Node.js;React","Insurance","ChatGPT;WolframAlpha","GitHub Copilot;Mintlify","Employed, full-time"
"Pretoria Campus","IT","I am a developer by profession","Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;Rust;SQL;TypeScript","PostgreSQL","Google Cloud","ASP.NET CORE;Blazor;FastAPI","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer","Employed, full-time"
